"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:52:52.4067897 PM","Photos.exe","6004","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx\PackageRepositoryRoot","SUCCESS","Type: REG_SZ, Length: 94, Data: C:\ProgramData\Microsoft\Windows\AppRepository"
"2:52:52.4067991 PM","Photos.exe","6004","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS",""
"2:52:52.4068085 PM","Photos.exe","6004","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:52:52.4068159 PM","Photos.exe","6004","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Appx","REPARSE GLOBAL","Desired Access: Read"
"2:52:52.4068281 PM","Photos.exe","6004","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS","Desired Access: Read"
"2:52:52.4068366 PM","Photos.exe","6004","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"2:52:52.4070554 PM","Photos.exe","6004","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx\PackageRepositoryRoot","BUFFER OVERFLOW","Length: 12"
"2:52:52.4070703 PM","Photos.exe","6004","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx\PackageRepositoryRoot","SUCCESS","Type: REG_SZ, Length: 94, Data: C:\ProgramData\Microsoft\Windows\AppRepository"
"2:52:52.4070803 PM","Photos.exe","6004","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS",""
"2:52:52.4071914 PM","Photos.exe","6004","CreateFile","C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\ActivationStore.dat","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
